"from" "to"
"Bevölkerung nach Geschlecht - Stichtag 30.06. - regionale Tiefe: Kreise und krfr. Städte" "Population by gender - reference date 30.06. - regional depth: counties and regional cities"
"Durchschnittsalter der Bevölkerung - Stichtag 31.12. - regionale Tiefe: Kreise und krfr. Städte" "Average age of the population - reference date 31.12. - regional depth: counties and regional cities"
"Jugendquotient, Altenquotient - Stichtag 31.12. - regionale Tiefe: Kreise und krfr. Städte" "Youth quotient, old age quotient - reference date 31.12. - regional depth: counties and regional cities"
"Gebietsfläche in qkm - Stichtag 31.12. - regionale Tiefe: Kreise und krfr. Städte" "Area in square kilometers - reference date 31.12. - regional depth: counties and regional cities"
"Zahl der Gemeinden - Stichtag 31.12. - regionale Tiefe: Kreise und krfr. Städte" "Number of municipalities - reference date December 31. - regional depth: counties and regional cities"
"Bevoelkerungsstand  Anzahl" "Population level number"
"Zu- und Fortzüge (über Gemeindegrenzen) nach Geschlecht und Altersgruppen - Jahressumme - regionale Tiefe: Kreise und krfr. Städte" "Immigration and emigration (across municipal boundaries) according to gender and age group - annual total - regional depth: districts and regional cities"
"Zu- und Fortzüge (über Gemeindegrenzen und Grenzen des Bundesgebiets) nach Geschlecht und Altersgruppen - Jahressumme - regionale Tiefe: Kreise und krfr. Städte" "Immigration and emigration (across municipal and federal boundaries) according to gender and age group - annual total - regional depth: districts and regional cities"
"Zu- und Fortzüge (über Gemeindegrenzen und Grenzen des Bundesgebiets) nach Geschlecht und Nationalität - Jahressumme - regionale Tiefe: Kreise und krfr. Städte" "Immigration and emigration (across municipal boundaries and borders of the federal territory) according to gender and nationality - annual total - regional depth: districts and Krfr. Cities"
"Zu- und Fortzüge (über Kreisgrenzen) nach Geschlecht und Altersgruppen - Jahressumme - regionale Tiefe: Kreise und krfr. Städte" "Immigration and emigration (across district boundaries) according to gender and age group - annual total - regional depth: districts and regional cities"
"Zu- und Fortzüge (über Kreisgrenzen) nach Geschlecht und Nationalität - Jahressumme - regionale Tiefe: Kreise und krfr. Städte" "Immigration and emigration (across district boundaries) by gender and nationality - annual total - regional depth: districts and regional cities"
"Zu- und Fortzüge (über Gemeindegrenzen) - Jahressumme - regionale Tiefe: Kreise und krfr. Städte" "Inward and outward movements (across municipal boundaries) - annual total - regional depth: counties and Krfr. Cities"
"Bruttoinlandsprodukt/Bruttowertschöpfung nach Wirtschaftsbereichen - Jahressumme - regionale Tiefe: Kreise und krfr. Städte" "Gross domestic product / gross value added according to economic sectors - annual total - regional depth: districts and cities"
"Inhalt: VGR der Länder: Entstehungsrechnung" "Content: National accounts of the federal states: production calculation"
"VGR der Länder: Entstehungsrechnung" "National accounts of the federal states: production calculation"
"Bruttoinlandsprodukt  Tsd  EUR" "Gross domestic product in EUR thousand"
"Bruttoinlandsprodukt je Erwerbstaetigen  EUR" "Gross domestic product per employed person EUR"
"Bruttoinlandsprodukt je Einwohner  EUR" "Gross domestic product per inhabitant EUR"
"BWS zu Herstellungspreisen in jeweiligen Preisen  Tsd  EUR" "GVA at basic prices in current prices in EUR thousand"
"Land- und Forstwirtschaft, Fischerei (A)" "Agriculture, forestry, fishing (A)"
"Produzierendes Gewerbe ohne Baugewerbe (B-E)" "Manufacturing industry excluding construction (B-E)"
"Verarbeitendes Gewerbe (C)" "Manufacturing Industry (C)"
"Baugewerbe (F)" "Construction Industry (F)"
"Handel,Verkehr,Gastgewerbe,Informa-/Kommunikation" "Trade, transport, hospitality, information / communication"
"Fin-,Vers.-,Unt.-dienstl.,Grundst.-/Wohnungswesen" "Fin-, Vers .-, Unt.-Dienstl., Landst .- / Housing"
"öffentl. u. sonst. Dienstl.,Erziehung, Gesundheit" "public and other services, education, health"
"Arbeitsmarktstatistik der Bundesagentur für Arbeit" "Labor market statistics from the Federal Employment Agency"
"Arbeitsmarktstatistik der Bundesagentur für Arbeit" "Labor market statistics from the Federal Employment Agency"
"Arbeitsmarktstatistik der Bundesagentur für Arbeit" "Labor market statistics from the Federal Employment Agency"
"Arbeitsmarktstatistik der Bundesagentur für Arbeit" "Labor market statistics from the Federal Employment Agency"
"Arbeitsmarktstatistik der Bundesagentur für Arbeit" "Labor market statistics from the Federal Employment Agency"
"Arbeitslose nach ausgewählten Personengruppen - Jahresdurchschnitt - regionale Tiefe: Kreise und krfr. Städte" "Unemployed according to selected groups of people - annual average - regional depth: districts and Krfr. Cities"
"Arbeitslose nach ausgewählten Personengruppen sowie Arbeitslosenquoten - Jahresdurchschnitt - (bis 2005) regionale Tiefe: Kreise und krfr. Städte" "Unemployed according to selected groups of people and unemployment rates - annual average - (until 2005) regional depth: districts and Krfr"
"Arbeitslose nach ausgewählten Personengruppen sowie Arbeitslosenquoten - Jahresdurchschnitt - (2006 bis 2007) regionale Tiefe: Kreise und krfr. Städte" "Unemployed according to selected groups of people and unemployment rates - annual average - (2006 to 2007) regional depth: districts and Krfr. Cities"
"Arbeitslose nach ausgewählten Personengruppen sowie Arbeitslosenquoten - Jahresdurchschnitt - (2008) regionale Tiefe: Kreise und krfr. Städte" "Unemployed according to selected groups of people and unemployment rates - annual average - (2008) regional depth: districts and Krfr. Cities"
"Arbeitslose nach ausgewählten Personengruppen sowie Arbeitslosenquoten - Jahresdurchschnitt - (ab 2009) regionale Tiefe: Kreise und krfr. Städte" "Unemployed according to selected groups of people and unemployment rates - annual average - (from 2009) regional depth: districts and Krfr. Cities"
"VGR der Länder: Umverteilungsrechnung" "National accounts of the federal states: reallocation calculation"
"Verfügbares Einkommen der privaten Haushalte einschließlich privater Organisationen ohne Erwerbszweck - Jahressumme - regionale Tiefe: Kreise und krfr. Städte" "Disposable income of private households including private non-profit institutions serving households - annual total - regional depth: counties and cities"
"verfuegbares Einkommen der privaten Haushalte  Tsd  EUR" "Disposable income of private households EUR thousand"
"verfueg  Einkommen der priv  Haushalte je Einwohner  EUR" "Household income per inhabitant EUR"
"Gebietsflaeche  qkm" "Territorial area qkm"
"Statistik der sozialversicherungspflichtig Beschäftigten" "Statistics of employees subject to social security contributions"
"Statistik der sozialversicherungspflichtig Beschäftigten" "Statistics of employees subject to social security contributions"
"Statistik der sozialversicherungspflichtig Beschäftigten" "Statistics of employees subject to social security contributions"
"Statistik der sozialversicherungspflichtig Beschäftigten" "Statistics of employees subject to social security contributions"
"Statistik der sozialversicherungspflichtig Beschäftigten" "Statistics of employees subject to social security contributions"
"Statistik der sozialversicherungspflichtig Beschäftigten" "Statistics of employees subject to social security contributions"
"Statistik der sozialversicherungspflichtig Beschäftigten" "Statistics of employees subject to social security contributions"
"Statistik der sozialversicherungspflichtig Beschäftigten" "Statistics of employees subject to social security contributions"
"Sozialversicherungspflichtig Beschäftigte am Arbeitsort nach Geschlecht und Nationalität - Stichtag 30.06. - regionale Tiefe: Kreise und krfr. Städte" "Employees subject to social security contributions at the place of work by gender and nationality - reference date 30.06. - regional depth: counties and regional cities"
"Sozialversicherungspflichtig Beschäftigte am Wohnort nach Geschlecht und Nationalität - Stichtag 30.06. - regionale Tiefe: Kreise und krfr. Städte" "Employees subject to social security contributions at the place of residence by gender and nationality - reference date 30.06. - regional depth: counties and regional cities"
"Sozialversicherungspflichtig Beschäftigte am Arbeitsort nach Geschlecht, Nationalität und Beschäftigungsumfang - Stichtag 30.06. - regionale Tiefe: Kreise und krfr. Städte" "Employees subject to social security contributions at the place of work by gender, nationality and scope of employment - reference date 30.06. - regional depth: counties and regional cities"
"Sozialversicherungspflichtig Beschäftigte am Wohnort nach Geschlecht, Nationalität und Beschäftigungsumfang - Stichtag 30.06. - regionale Tiefe: Kreise und krfr. Städte" "Employees subject to social security contributions at the place of residence by gender, nationality and scope of employment - reference date 30.06. - regional depth: counties and regional cities"
"Sozialversicherungspflichtig Beschäftigte am Arbeitsort nach Geschlecht, Nationalität und Altersgruppen - Stichtag 30.06. - regionale Tiefe: Kreise und krfr. Städte" "Employees subject to social security contributions at the place of work by gender, nationality and age group - reference date 30.06. - regional depth: counties and regional cities"
"Sozialversicherungspflichtig Beschäftigte am Wohnort nach Geschlecht, Nationalität und Altersgruppen - Stichtag 30.06. - regionale Tiefe: Kreise und krfr. Städte" "Employees subject to social security contributions at place of residence by gender, nationality and age group - reference date 30.06. - regional depth: counties and regional cities"
"Sozialversicherungspflichtig Beschäftigte am Arbeitsort nach Geschlecht, Nationalität und Art des beruflichen Ausbildungsabschlusses - Stichtag 30.06. - regionale Tiefe: Kreise und krfr. Städte" "Employees subject to social security contributions at the place of work by gender, nationality and type of vocational training qualification - reference date June 30 - regional depth: counties and regional cities"
"Sozialversicherungspflichtig Beschäftigte am Wohnort nach Geschlecht, Nationalität und Art des beruflichen Ausbildungsabschlusses - Stichtag 30.06. - regionale Tiefe: Kreise und krfr.Städte" "Employees subject to social security contributions at place of residence by gender, nationality and type of vocational training qualification - reference date 30.06. - regional depth: counties and regional cities"
"Sozialversicherungspfl  Beschaeftigte (Arbeitsort)  Anzahl" "Employees subject to social security (place of work) Number"
"Ausländer(innen)" "Foreigners"
"Sozialversicherungspfl  Beschaeftigte (Wohnort)  Anzahl" "Employees subject to social insurance (place of residence) number"
"Erwerbstaetige im Jahresdurchschnitt  1000" "Employed 1000 on average per year"
"Arbeitnehmer im Jahresdurchschnitt  1000" "Annual average employees 1000"
"3 - 6 Wohnungen" "3 - 6 apartments"
"7 - 12 Wohnungen" "7 - 12 apartments"
"13 und mehr Wohnungen" "13 and more apartments"
"öffentl. u. sonst. Dienstl.,Erziehung, Gesundheit" "public and other services, education, health"
"Fortschreibung des Bevölkerungsstandes" "Update of the population"
"Fortschreibung des Bevölkerungsstandes" "Update of the population"
"Fortschreibung des Bevölkerungsstandes" "Update of the population"
"Fortschreibung des Bevölkerungsstandes" "Update of the population"
"Fortschreibung des Bevölkerungsstandes" "Update of the population"
"Fortschreibung des Bevölkerungsstandes" "Update of the population"
"Fortschreibung des Bevölkerungsstandes" "Update of the population"
"Fortschreibung des Bevölkerungsstandes" "Update of the population"
"Fortschreibung des Bevölkerungsstandes" "Update of the population"
"Fortschreibung des Bevölkerungsstandes" "Update of the population"
"Fortschreibung des Bevölkerungsstandes" "Update of the population"
"Fortschreibung des Bevölkerungsstandes" "Update of the population"
"Fortschreibung des Bevölkerungsstandes" "Update of the population"
"Fortschreibung des Bevölkerungsstandes" "Update of the population"
"Fortschreibung des Bevölkerungsstandes" "Update of the population"
"Fortschreibung des Bevölkerungsstandes" "Update of the population"
"Fortschreibung des Bevölkerungsstandes" "Update of the population"
"Fortschreibung des Bevölkerungsstandes" "Update of the population"
"Fortschreibung des Bevölkerungsstandes" "Update of the population"
"Fortschreibung des Bevölkerungsstandes" "Update of the population"
"Fortschreibung des Bevölkerungsstandes" "Update of the population"
"Fortschreibung des Bevölkerungsstandes" "Update of the population"
"Fortschreibung des Bevölkerungsstandes" "Update of the population"
"Fortschreibung des Bevölkerungsstandes" "Update of the population"
"Fortschreibung des Bevölkerungsstandes" "Update of the population"
"Fortschreibung des Bevölkerungsstandes" "Update of the population"
"Bevölkerung nach Geschlecht - Stichtag 31.12. - regionale Tiefe: Gemeinden" "Population by gender - reference date 31.12. - regional depth: municipalities"
"Bevölkerung nach Geschlecht - Stichtag 31.12. - regionale Ebenen" "Population by gender - reference date 31.12. - regional levels"
"Bevölkerung nach Geschlecht und Altersgruppen (17) - Stichtag 31.12. - regionale Tiefe: Gemeinden" "Population by gender and age group (17) - reference date 31.12. - regional depth: municipalities"
"Bevölkerung nach Geschlecht und Altersgruppen (17) - Stichtag 31.12. - regionale Ebenen" "Population by gender and age group (17) - reference date 31.12. - regional levels"
"Bevölkerung nach Geschlecht, Nationalität und Altersgruppen (17) - Stichtag 31.12. - (bis 2010) regionale Ebenen" "Population by gender, nationality and age group (17) - reference date 31.12. - (by 2010) regional levels"
"Bevölkerung nach Geschlecht, Nationalität und Altersgruppen (21) - Stichtag 31.12. - (ab 2011) regionale Ebenen" "Population by gender, nationality and age group (21) - reference date 31.12. - (from 2011) regional levels"
"Bevölkerung nach Geschlecht und Altersjahren (78) - Stichtag 31.12. - (bis 2010) regionale Ebenen" "Population by gender and age (78) - reference date 31.12. - (by 2010) regional levels"
"Bevölkerung nach Geschlecht und Altersjahren (79) - Stichtag 31.12. - (ab 2011) regionale Ebenen" "Population by gender and age (79) - reference date 31.12. - (from 2011) regional levels"
"Durchschnittliche Jahresbevölkerung nach Geschlecht - Jahresdurchschnitt - regionale Ebenen" "Average annual population by gender - annual average - regional levels"
"Bevölkerung nach Geschlecht - Stichtag 30.06. - regionale Tiefe: Gemeinden" "Population by gender - reference date 30.06. - regional depth: municipalities"
"Bevölkerung nach Geschlecht - Stichtag 30.06.- regionale Ebenen" "Population by gender - reference date June 30th - regional levels"
"Durchschnittsalter der Bevölkerung - Stichtag 31.12. - regionale Tiefe: Gemeinden" "Average age of the population - reference date 31.12. - regional depth: municipalities"
"Durchschnittsalter der Bevölkerung - Stichtag 31.12. - regionale Ebenen" "Average age of the population - reference date 31.12. - regional levels"
"Jugendquotient, Altenquotient - Stichtag 31.12. - regionale Ebenen" "Youth quotient, old age quotient - reference date 31.12. - regional levels"
"Bevölkerung nach Geschlecht und Altersgruppen (20) - Stichtag 31.12. - (ab 2011) regionale Tiefe: Kreise und krfr. Städte" "Population by gender and age group (20) - reference date 31.12. - (from 2011) regional depth: districts and Krfr. cities"
"Bevölkerung nach Geschlecht und Altersgruppen (20) - Stichtag 31.12. - (ab 2011) regionale Ebenen" "Population by gender and age group (20) - reference date 31.12. - (from 2011) regional levels"
"BEVSTD  Bevoelkerungsstand  Anzahl" "BEVSTD Population level number"
